ID,task_achievement,coherence_and_cohesion,lexical_resource,grammatical_range
1,6.5976562,6.6835938,6.2929688,6.2617188
2,3.9003906,3.6972656,3.8710938,3.7578125
3,5.0195312,4.640625,4.4414062,4.3476562
4,5.3984375,4.7734375,4.8398438,4.7460938
5,6.4609375,6.6367188,6.0859375,6.0976562
6,6.03125,5.7851562,5.578125,5.4765625
7,6.4609375,6.5078125,6.1796875,6.0585938
8,6.5898438,6.5664062,5.9414062,6.0859375
9,5.7070312,5.1054688,5.0898438,5.0507812
10,6.4921875,6.1953125,5.9140625,5.8671875
11,6.4765625,6.3125,5.890625,5.859375
12,6.5273438,6.3398438,6.0117188,5.9726562
13,6.453125,6.4765625,6.0742188,6.0234375
14,7.2148438,7.4414062,6.8320312,6.6796875
15,6.1796875,5.9921875,5.7421875,5.5703125
16,6.7304688,6.8984375,6.4296875,6.21875
17,6.3867188,6.4960938,6.1835938,6.0351562
18,6.3710938,6.1132812,5.9257812,5.8476562
19,6.5585938,6.3984375,6.1523438,6.078125
20,6.6210938,6.5234375,6.1210938,6.09375
21,6.2460938,6.1914062,5.7460938,5.796875
22,6.59375,6.5546875,6.171875,6.1757812
23,7.3710938,7.4765625,6.875,6.84375
24,6.7382812,6.65625,6.4257812,6.359375
25,6.8085938,6.6914062,6.2265625,6.2695312
26,6.6367188,6.6875,6.2695312,6.140625
27,6.6445312,6.6953125,6.1210938,6.0507812
28,6.9960938,7.0429688,6.46875,6.40625
29,7.0820312,7.0664062,6.6054688,6.6132812
30,7.25,7.421875,6.9179688,6.75
31,6.9492188,6.8945312,6.3515625,6.3671875
32,6.9882812,7.0585938,6.53125,6.4257812
33,7.0585938,7.0273438,6.5195312,6.4882812
34,6.5859375,6.6015625,6.0546875,6.0664062
35,6.9140625,6.9296875,6.5546875,6.4335938
36,6.6523438,6.6289062,6.3789062,6.2304688
37,6.7578125,6.6992188,6.40625,6.3242188
38,6.4882812,6.265625,5.8828125,5.8203125
39,5.9570312,5.3515625,5.328125,5.390625
40,6.5585938,6.5703125,6.1875,6.1367188
41,7.3320312,7.53125,6.875,6.9960938
42,6.671875,6.7109375,6.2734375,6.140625
